sender,message,conversation_history,receiver
1,Ik open de vergadering van woensdag 19 juni 2024.,"Sender: , message: ",18
1,Ik deel aan de Kamer mee dat er geen afmeldingen zijn.,"Sender: De voorzitter, message: Ik open de vergadering van woensdag 19 juni 2024..",18
1,"We gaan meteen aan de slag met het eerste debat dat gepland staat. Dat is het tweeminutendebat Mentale gezondheid van jongeren en studenten, naar aanleiding van een commissiedebat dat is gehouden op 12 juni jongstleden. Ik heet natuurlijk de minister, de leden, de mensen op de publieke tribune en uiteraard iedereen die dit vanuit huis of elders volgt van harte welkom. We hebben acht sprekers van de zijde van de Kamer. Ik zie de eerste spreekster al staan. Dat is mevrouw Hertzberger namens Nieuw Sociaal Contract.","Sender: De voorzitter, message: Ik open de vergadering van woensdag 19 juni 2024. Sender: De voorzitter, message: Ik deel aan de Kamer mee dat er geen afmeldingen zijn. ","18, 2"
2,"Voorzitter. In het commissiedebat hebben wij gesproken over de oorzaken van en oplossingen voor problemen met de mentale gezondheid onder studenten en scholieren. Daarin spraken wij ook over de grote impact van overmatig mediagebruik op de mentale gesteldheid van jongeren. In heel Europa zien we nu initiatieven van ouders die samen afspraken maken over bijvoorbeeld de leeftijd waarop kinderen hun eerste telefoon krijgen en op sociale media kunnen. Staatssecretaris Van Ooijen, die helaas vandaag niet aanwezig is, zei dat hij dit onderwerp voortaan ook zal betrekken in de samenwerking met zijn collega Van Huffelen. Mijn fractie vindt dat het Rijk dit soort initiatieven, pilots en projecten vanuit de samenleving maximaal moet faciliteren en aanjagen. Ik kijk er erg naar uit om dit onderwerp steeds weer op de agenda te zetten, ook voor een volgend kabinet. Ik wil nog één keer van de kant van vak K horen dat dit ook daadwerkelijk op de agenda staat en betrokken wordt bij die samenwerkingen.
Dan de motie over het opstaan in het hoger onderwijs na een val. Die gaat over hoe het stelsel vergevingsgezinder moet worden en hoe we ervoor moeten zorgen dat studenten die uitvallen makkelijker kunnen opstaan en herinstromen of doorstromen. Zeker wanneer een student met een depressie uitvalt in het zicht van de finish van een bacheloropleiding, is dat een persoonlijk drama. We weten uit de praktijk dat het heel goed is als de instelling dan even de telefoon pakt, incheckt en kijkt wat zo'n uitvaller nodig heeft om zijn of haar leven zo goed mogelijk voort te zetten. Daarom de volgende motie.
De Kamer,
gehoord de beraadslaging,
overwegende dat late uitval door persoonlijke omstandigheden uit een bacheloropleiding vaak een persoonlijk drama is, met daarbij mogelijk gevoelens van angst en falen, en ook een financiële schuld;
overwegende dat het verstrekken van een verklaring aan late uitvallers een hulpmiddel kan zijn om later weer een studie te hervatten en de behaalde prestaties en competenties toonbaar te maken in het werkveld;
verzoekt de regering om met de kennisinstellingen in het hoger onderwijs afspraken te maken om met late uitvallers, die uitvallen na het behalen van hun eerste twee jaar, altijd een exitgesprek in te plannen om de student te wijzen op de opties voor herinstroom en een verklaring te verstrekken met het uitstroomniveau en de behaalde competenties;
verzoekt de regering voor het herfstreces een brief over deze afspraken naar de Kamer te sturen,
en gaat over tot de orde van de dag.","Sender: De voorzitter, message: Ik deel aan de Kamer mee dat er geen afmeldingen zijn. Sender: de voorzitter, message: We gaan meteen aan de slag met het eerste debat dat gepland staat. Dat is het tweeminutendebat Mentale gezondheid van jongeren en studenten, naar aanleiding van een commissiedebat dat is gehouden op 12 juni jongstleden. Ik heet natuurlijk de minister, de leden, de mensen op de publieke tribune en uiteraard iedereen die dit vanuit huis of elders volgt van harte welkom. We hebben acht sprekers van de zijde van de Kamer. Ik zie de eerste spreekster al staan. Dat is mevrouw Hertzberger namens Nieuw Sociaal Contract. ",18
1,"Deze motie is voorgesteld door het lid Hertzberger.
Zij krijgt nr. 1138 (31288).
Dank u wel, mevrouw Hertzberger. Voor u vertrekt, heeft de heer Krul nog een interruptie voor u.","Sender: de voorzitter, message: We gaan meteen aan de slag met het eerste debat dat gepland staat. Dat is het tweeminutendebat Mentale gezondheid van jongeren en studenten, naar aanleiding van een commissiedebat dat is gehouden op 12 juni jongstleden. Ik heet natuurlijk de minister, de leden, de mensen op de publieke tribune en uiteraard iedereen die dit vanuit huis of elders volgt van harte welkom. We hebben acht sprekers van de zijde van de Kamer. Ik zie de eerste spreekster al staan. Dat is mevrouw Hertzberger namens Nieuw Sociaal Contract. Sender: Mevrouw Hertzberger, message: Voorzitter. In het commissiedebat hebben wij gesproken over de oorzaken van en oplossingen voor problemen met de mentale gezondheid onder studenten en scholieren. Daarin spraken wij ook over de grote impact van overmatig mediagebruik op de mentale gesteldheid van jongeren. In heel Europa zien we nu initiatieven van ouders die samen afspraken maken over bijvoorbeeld de leeftijd waarop kinderen hun eerste telefoon krijgen en op sociale media kunnen. Staatssecretaris Van Ooijen, die helaas vandaag niet aanwezig is, zei dat hij dit onderwerp voortaan ook zal betrekken in de samenwerking met zijn collega Van Huffelen. Mijn fractie vindt dat het Rijk dit soort initiatieven, pilots en projecten vanuit de samenleving maximaal moet faciliteren en aanjagen. Ik kijk er erg naar uit om dit onderwerp steeds weer op de agenda te zetten, ook voor een volgend kabinet. Ik wil nog één keer van de kant van vak K horen dat dit ook daadwerkelijk op de agenda staat en betrokken wordt bij die samenwerkingen.
Dan de motie over het opstaan in het hoger onderwijs na een val. Die gaat over hoe het stelsel vergevingsgezinder moet worden en hoe we ervoor moeten zorgen dat studenten die uitvallen makkelijker kunnen opstaan en herinstromen of doorstromen. Zeker wanneer een student met een depressie uitvalt in het zicht van de finish van een bacheloropleiding, is dat een persoonlijk drama. We weten uit de praktijk dat het heel goed is als de instelling dan even de telefoon pakt, incheckt en kijkt wat zo'n uitvaller nodig heeft om zijn of haar leven zo goed mogelijk voort te zetten. Daarom de volgende motie.
De Kamer,
gehoord de beraadslaging,
overwegende dat late uitval door persoonlijke omstandigheden uit een bacheloropleiding vaak een persoonlijk drama is, met daarbij mogelijk gevoelens van angst en falen, en ook een financiële schuld;
overwegende dat het verstrekken van een verklaring aan late uitvallers een hulpmiddel kan zijn om later weer een studie te hervatten en de behaalde prestaties en competenties toonbaar te maken in het werkveld;
verzoekt de regering om met de kennisinstellingen in het hoger onderwijs afspraken te maken om met late uitvallers, die uitvallen na het behalen van hun eerste twee jaar, altijd een exitgesprek in te plannen om de student te wijzen op de opties voor herinstroom en een verklaring te verstrekken met het uitstroomniveau en de behaalde competenties;
verzoekt de regering voor het herfstreces een brief over deze afspraken naar de Kamer te sturen,
en gaat over tot de orde van de dag. ","18, 2"
3,"Ik vind het eigenlijk wel een sympathiek voorstel van mevrouw Hertzberger. Ik ben wel even benieuwd naar het volgende. Ik probeer een beetje een beeld te schetsen. Late uitval, dus na een jaar of twee, is vaak gerelateerd aan depressies. Die late uitvallers komen er misschien na een paar jaar weer bovenop en willen dan de draad weer oppakken. Dat is al moeilijk zat. Als we deze groep mensen kunnen terugkrijgen naar de universiteit, gaan zij waarschijnlijk ook langer over hun studie doen. Klopt dat een beetje in het beeld van mevrouw Hertzberger?","Sender: Mevrouw Hertzberger, message: Voorzitter. In het commissiedebat hebben wij gesproken over de oorzaken van en oplossingen voor problemen met de mentale gezondheid onder studenten en scholieren. Daarin spraken wij ook over de grote impact van overmatig mediagebruik op de mentale gesteldheid van jongeren. In heel Europa zien we nu initiatieven van ouders die samen afspraken maken over bijvoorbeeld de leeftijd waarop kinderen hun eerste telefoon krijgen en op sociale media kunnen. Staatssecretaris Van Ooijen, die helaas vandaag niet aanwezig is, zei dat hij dit onderwerp voortaan ook zal betrekken in de samenwerking met zijn collega Van Huffelen. Mijn fractie vindt dat het Rijk dit soort initiatieven, pilots en projecten vanuit de samenleving maximaal moet faciliteren en aanjagen. Ik kijk er erg naar uit om dit onderwerp steeds weer op de agenda te zetten, ook voor een volgend kabinet. Ik wil nog één keer van de kant van vak K horen dat dit ook daadwerkelijk op de agenda staat en betrokken wordt bij die samenwerkingen.
Dan de motie over het opstaan in het hoger onderwijs na een val. Die gaat over hoe het stelsel vergevingsgezinder moet worden en hoe we ervoor moeten zorgen dat studenten die uitvallen makkelijker kunnen opstaan en herinstromen of doorstromen. Zeker wanneer een student met een depressie uitvalt in het zicht van de finish van een bacheloropleiding, is dat een persoonlijk drama. We weten uit de praktijk dat het heel goed is als de instelling dan even de telefoon pakt, incheckt en kijkt wat zo'n uitvaller nodig heeft om zijn of haar leven zo goed mogelijk voort te zetten. Daarom de volgende motie.
De Kamer,
gehoord de beraadslaging,
overwegende dat late uitval door persoonlijke omstandigheden uit een bacheloropleiding vaak een persoonlijk drama is, met daarbij mogelijk gevoelens van angst en falen, en ook een financiële schuld;
overwegende dat het verstrekken van een verklaring aan late uitvallers een hulpmiddel kan zijn om later weer een studie te hervatten en de behaalde prestaties en competenties toonbaar te maken in het werkveld;
verzoekt de regering om met de kennisinstellingen in het hoger onderwijs afspraken te maken om met late uitvallers, die uitvallen na het behalen van hun eerste twee jaar, altijd een exitgesprek in te plannen om de student te wijzen op de opties voor herinstroom en een verklaring te verstrekken met het uitstroomniveau en de behaalde competenties;
verzoekt de regering voor het herfstreces een brief over deze afspraken naar de Kamer te sturen,
en gaat over tot de orde van de dag. Sender: de voorzitter, message: Deze motie is voorgesteld door het lid Hertzberger.
Zij krijgt nr. 1138 (31288).
Dank u wel, mevrouw Hertzberger. Voor u vertrekt, heeft de heer Krul nog een interruptie voor u. ",2
2,Dat zou er inderdaad toe kunnen leiden dat de studie dan langer duurt.," Sender: de voorzitter, message: Deze motie is voorgesteld door het lid Hertzberger.
Zij krijgt nr. 1138 (31288).
Dank u wel, mevrouw Hertzberger. Voor u vertrekt, heeft de heer Krul nog een interruptie voor u. Sender: de heer Krul, message: Ik vind het eigenlijk wel een sympathiek voorstel van mevrouw Hertzberger. Ik ben wel even benieuwd naar het volgende. Ik probeer een beetje een beeld te schetsen. Late uitval, dus na een jaar of twee, is vaak gerelateerd aan depressies. Die late uitvallers komen er misschien na een paar jaar weer bovenop en willen dan de draad weer oppakken. Dat is al moeilijk zat. Als we deze groep mensen kunnen terugkrijgen naar de universiteit, gaan zij waarschijnlijk ook langer over hun studie doen. Klopt dat een beetje in het beeld van mevrouw Hertzberger? ",3
1,"Tot slot op dit punt, de heer Krul.","Sender: de heer Krul, message: Ik vind het eigenlijk wel een sympathiek voorstel van mevrouw Hertzberger. Ik ben wel even benieuwd naar het volgende. Ik probeer een beetje een beeld te schetsen. Late uitval, dus na een jaar of twee, is vaak gerelateerd aan depressies. Die late uitvallers komen er misschien na een paar jaar weer bovenop en willen dan de draad weer oppakken. Dat is al moeilijk zat. Als we deze groep mensen kunnen terugkrijgen naar de universiteit, gaan zij waarschijnlijk ook langer over hun studie doen. Klopt dat een beetje in het beeld van mevrouw Hertzberger? Sender: Mevrouw Hertzberger, message: Dat zou er inderdaad toe kunnen leiden dat de studie dan langer duurt. ",3
3,"Dan wil ik toch even benoemen dat dit ook de groep is die we dan wel weer gaan confronteren met een extra financiële prikkel. Gezien de discussies die we in het commissiedebat gevoerd hebben over alle gevolgen, triggers en invloedpunten voor het mentale welzijn, vind ik het toch opmerkelijk dat mevrouw Hertzberger nu een sympathiek voorstel doet met als doel om studenten weer terug te krijgen na een val, om ze vervolgens wel met een boete te confronteren voor hetgeen er gebeurd is, namelijk dat ze gevallen zijn. Zouden we dat dus niet ook moeten heroverwegen, vraag ik aan mevrouw Hertzberger. Zonder een langstudeerboete verlaag je namelijk de drempel om terug te keren naar de universiteit.","Sender: Mevrouw Hertzberger, message: Dat zou er inderdaad toe kunnen leiden dat de studie dan langer duurt. Sender: De voorzitter, message: Tot slot op dit punt, de heer Krul. ",2
2,"Laat ik vooropstellen dat het grootste probleem waar deze studenten tegenaan lopen de depressie of het probleem met de mentale gezondheid zelf is. Het tweede probleem dat ook blijft bestaan, is de studiebeurs, die na de nominale studieduur afloopt. Het derde probleem is dat ze mogelijk, als ze binnen tien jaar geen diploma halen, de studiebeurs moeten terugbetalen. Wij hebben besloten dat de toelage vanuit het Rijk voor een opleiding beperkt is — dat is overigens zo in bijna de hele wereld — en dat die op een gegeven moment stopt. Daar beginnen we niet mee na afloop van de nominale studieduur, maar het jaar daarna.","Sender: De voorzitter, message: Tot slot op dit punt, de heer Krul. Sender: de heer Krul, message: Dan wil ik toch even benoemen dat dit ook de groep is die we dan wel weer gaan confronteren met een extra financiële prikkel. Gezien de discussies die we in het commissiedebat gevoerd hebben over alle gevolgen, triggers en invloedpunten voor het mentale welzijn, vind ik het toch opmerkelijk dat mevrouw Hertzberger nu een sympathiek voorstel doet met als doel om studenten weer terug te krijgen na een val, om ze vervolgens wel met een boete te confronteren voor hetgeen er gebeurd is, namelijk dat ze gevallen zijn. Zouden we dat dus niet ook moeten heroverwegen, vraag ik aan mevrouw Hertzberger. Zonder een langstudeerboete verlaag je namelijk de drempel om terug te keren naar de universiteit. ",3
